"bin_extents","bin_values"
-4902.5,26
-4844.5,44
-4786.4,37
-4728.3,60
-4670.3,70
-4612.2,52
-4554.2,92
-4496.1,79
-4438.1,69
-4380,106
-4321.9,94
-4263.9,88
-4205.8,124
-4147.8,104
-4089.7,98
-4031.6,133
-3973.6,115
-3915.5,112
-3857.5,160
-3799.4,108
-3741.4,144
-3683.3,144
-3625.2,128
-3567.2,162
-3509.1,145
-3451.1,141
-3393,178
-3334.9,166
-3276.9,167
-3218.8,179
-3160.8,145
-3102.7,205
-3044.7,167
-2986.6,191
-2928.5,203
-2870.5,160
-2812.4,225
-2754.4,174
-2696.3,214
-2638.3,201
-2580.2,203
-2522.1,231
-2464.1,184
-2406,145
-2348,152
-2289.9,113
-2231.8,118
-2173.8,92
-2115.7,85
-2057.7,85
-1999.6,73
-1941.6,63
-1883.5,56
-1825.4,52
-1767.4,46
-1709.3,32
-1651.3,37
-1593.2,23
-1535.2,17
-1477.1,18
-1419,11
-1361,6
-1302.9,3
-1244.9,1
